PATTERN	SPATIAL	CATEGORY	66-24-C	66-24-P	66-48-C	66-48-P	67-24-C	67-24-P	67-48-C	67-48-P	68-24-C	68-24-P	68-48-C	68-48-P	76-48-C	76-48-P	82-24-C	82-24-P	82-48-C	82-48-P
light	0	adjective	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
line	1	spatial features and properties	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
little	1	spatial dimension	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1
lobster	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
location	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
log	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
long	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
low	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
lump	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
marlin	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
maybe	0	question	0	4	0	8	0	0	1	10	0	16	0	6	0	0	0	2	0	8
measure	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
middle	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
monkey	0	animal name	0	0	0	1	0	0	0	3	0	0	1	1	0	0	0	0	0	0
mossy	0	adjective	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mouth	0	body part	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
much	1	continuous amount	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mushrooms	0	nature	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
narrow	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
near	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
next to	1	location and directions	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
north	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nose	0	body part	0	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	1
ocean	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
octagon	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
octopus	0	animal name	6	3	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0
opposite	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
orange	0	color	1	2	0	0	0	0	0	3	0	2	0	0	0	0	0	2	0	1
orientation	1	orientation and transformation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
out	1	location and directions	0	0	0	0	0	2	0	4	0	3	0	6	0	1	1	1	0	3
oval	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
over	1	location and directions	8	5	2	6	1	0	2	4	0	2	0	7	0	4	0	3	0	4
parallel	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
parallelogram	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
part	1	continuous amount	4	1	0	0	0	2	0	20	0	0	0	0	0	1	0	2	0	18
past	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
path	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pentagon	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perpendicular	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
petal	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
piece	1	continuous amount	7	6	10	9	4	8	4	25	0	23	0	19	2	12	0	16	6	29
pig	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pincher	0	body part	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
pink	0	color	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	1
place	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
plane	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
plants	0	nature	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2
point	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
polygon	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
portion	1	continuous amount	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
position	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
puma	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
purple	0	color	1	2	0	0	0	1	0	0	0	2	0	0	0	0	0	4	0	0
pyramid	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
quadrilateral	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
quarter	1	continuous amount	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rainforest	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rectangle	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rectangular prism	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
red	0	color	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
reverse	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rhombus	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
right	1	location and directions	1	3	0	1	3	4	1	11	0	10	0	4	2	17	3	10	2	31
right side up	1	orientation and transformation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rotate	1	orientation and transformation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
round	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
route	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
row	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sand	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sea	0	nature	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
sea creature	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seahorse	0	animal name	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
seaweed	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
section	1	continuous amount	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sector	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
segment	1	continuous amount	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
semicircle	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
separate	1	location and directions	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shallow	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shape	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shark	0	animal name	3	1	0	0	0	3	0	0	0	0	0	0	0	0	6	6	0	0
sheep	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shell	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shiny	0	adjective	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
short	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
should i	0	question	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
side	1	spatial features and properties	0	0	0	0	0	0	0	1	0	2	0	4	0	1	0	1	0	3
sideways	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
size	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
skinny	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sky	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sloth	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
small	1	spatial dimension	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
smile	0	body part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
snake	0	animal name	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	1	5
some	1	continuous amount	0	0	1	1	0	0	3	9	0	4	4	5	1	3	0	4	0	9
south	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sphere	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spider	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spots	0	body part	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	6
square	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
starfish	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stick	0	nature	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
straight	1	spatial features and properties	2	3	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	2
suckers	0	body part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sun	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
surface	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sword	0	body part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
swordfish	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
symmetry	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tail	0	body part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tall	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
teeny	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
teeth	0	body part	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tentacle	0	body part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thick	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thin	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
third	1	continuous amount	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
through	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tiger	0	animal name	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
tiny	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
together	1	location and directions	1	4	0	3	0	0	0	2	0	13	0	9	0	4	0	2	0	1
tongue	0	body part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
top	1	location and directions	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	6	0	24
toucan	0	animal name	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1
tree	0	nature	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
triangle	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
turn	1	orientation and transformation	0	0	0	0	0	1	2	4	0	4	0	2	0	4	0	4	0	8
under	1	location and directions	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
up	1	location and directions	1	0	1	0	0	1	0	2	0	3	1	1	0	1	1	18	2	14
upside down	1	orientation and transformation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vertical	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vine	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
volume	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
water	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wave	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
west	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
whale	0	animal name	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
what	0	question	5	6	7	6	1	2	2	29	0	8	0	4	7	6	2	2	1	11
when	0	question	0	0	0	0	1	0	0	0	0	0	0	4	0	1	0	0	2	0
where	0	question	1	7	2	8	1	0	5	12	0	17	0	12	0	3	0	19	2	19
which	0	question	3	1	1	0	0	0	1	0	0	2	0	0	0	0	0	2	0	2
white	0	color	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
who	0	question	0	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1
whole	1	continuous amount	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
whose	0	question	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
why	0	question	0	0	3	0	0	0	1	1	0	1	0	1	2	0	0	1	0	8
wide	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
width	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
will	0	question	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0
wing	0	body part	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
with	1	location and directions	0	2	0	2	1	3	1	9	0	7	0	2	0	5	1	7	0	5
yellow	0	color	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5
